intent,question,answer,label,clean_question,tokens
MCU Error,Bagaimana jika ada pasien MCU ganda muncul?,Hapus data duplikat dan pastikan NIK/ID pasien unik sebelum mendaftar kembali.,Pendaftaran MCU,bagaimana jika ada pasien mcu ganda muncul,"['pasien', 'mcu', 'ganda', 'muncul']"
MCU Error,"Tombol Import tidak aktif, kenapa?",Periksa format file yang dipilih dan pastikan browser mendukung fitur upload.,Pendaftaran MCU,tombol import tidak aktif  kenapa,"['tombol', 'import', 'aktif']"
MCU Error,"Saya tidak bisa memilih paket MCU, apa yang salah?",Pastikan pasien sudah mengisi data wajib di form dan paket tersedia di sistem.,Pendaftaran MCU,saya tidak bisa memilih paket mcu  apa yang salah,"['memilih', 'paket', 'mcu', 'salah']"
MCU Error,Bagaimana jika data pasien MCU salah?,Gunakan fitur Edit/Verifikasi untuk memperbaiki data sebelum menyimpan pendaftaran.,Pendaftaran MCU,bagaimana jika data pasien mcu salah,"['data', 'pasien', 'mcu', 'salah']"
Lab Menu Utama,Bagaimana cara mencari pasien di laboratorium?,"Gunakan menu ""Cari Pasien"" di sidebar kiri, bisa berdasarkan No. RM, nama, alamat, tanggal lahir, atau identitas lain.",Pendaftaran Laboratorium,bagaimana cara mencari pasien di laboratorium,"['mencari', 'pasien', 'laboratorium']"
Lab Menu Utama,"Apa fungsi tombol ""Lihat List Order""?",Menampilkan daftar order pemeriksaan laboratorium yang dibuat oleh dokter atau unit pelayanan lain.,Pendaftaran Laboratorium,apa fungsi tombol  lihat list order,"['fungsi', 'tombol', 'lihat', 'list', 'order']"
Lab Menu Utama,Bagaimana melihat daftar pasien yang sudah terdaftar?,"Gunakan menu ""Lihat Informasi Terdata"" untuk menampilkan pasien resmi terdaftar, termasuk status pelayanan dan administrasi.",Pendaftaran Laboratorium,bagaimana melihat daftar pasien yang sudah terdaftar,"['daftar', 'pasien', 'terdaftar']"
Lab List Order,Bagaimana cara memvalidasi order laboratorium?,"Buka menu ""List Order"", pilih order yang masuk, lalu verifikasi data sebelum diproses.",Pendaftaran Laboratorium,bagaimana cara memvalidasi order laboratorium,"['memvalidasi', 'order', 'laboratorium']"
Lab List Order,Apa arti warna putih pada List Order?,Putih menandakan order belum diverifikasi.,Pendaftaran Laboratorium,apa arti warna putih pada list order,"['arti', 'warna', 'putih', 'list', 'order']"
Lab List Order,Apa arti warna hitam pada List Order?,Hitam menandakan order dibatalkan.,Pendaftaran Laboratorium,apa arti warna hitam pada list order,"['arti', 'warna', 'hitam', 'list', 'order']"
Lab List Order,Bagaimana cara mencari order tertentu?,"Gunakan filter berdasarkan tanggal, unit pengorder, atau status order.",Pendaftaran Laboratorium,bagaimana cara mencari order tertentu,"['mencari', 'order']"
Lab List Order,Bagaimana cara menghapus order laboratorium?,"Pilih order, lalu klik tombol ""Hapus"".",Pendaftaran Laboratorium,bagaimana cara menghapus order laboratorium,"['menghapus', 'order', 'laboratorium']"
Lab List Order,Bagaimana cara memperbarui data List Order?,"Klik tombol ""Refresh"" untuk memperbarui daftar order terbaru.",Pendaftaran Laboratorium,bagaimana cara memperbarui data list order,"['memperbarui', 'data', 'list', 'order']"
Lab Informasi Terdata,Bagaimana mengetahui pasien laboratorium sudah terdaftar?,"Buka menu ""Informasi Terdata"", data pasien yang valid akan tampil beserta statusnya.",Pendaftaran Laboratorium,bagaimana mengetahui pasien laboratorium sudah terdaftar,"['pasien', 'laboratorium', 'terdaftar']"
Lab Informasi Terdata,Apa arti warna hijau di Informasi Terdata?,Hijau menandakan pasien sudah daftar.,Pendaftaran Laboratorium,apa arti warna hijau di informasi terdata,"['arti', 'warna', 'hijau', 'informasi', 'terdata']"
Lab Informasi Terdata,Apa arti warna biru muda di Informasi Terdata?,Biru muda menandakan pasien sedang dilayani.,Pendaftaran Laboratorium,apa arti warna biru muda di informasi terdata,"['arti', 'warna', 'biru', 'muda', 'informasi', 'terdata']"
Lab Informasi Terdata,Apa arti warna merah di Informasi Terdata?,Merah menandakan pasien sudah dipulangkan.,Pendaftaran Laboratorium,apa arti warna merah di informasi terdata,"['arti', 'warna', 'merah', 'informasi', 'terdata']"
Lab Informasi Terdata,Apa arti warna hitam di Informasi Terdata?,Hitam menandakan pasien batal.,Pendaftaran Laboratorium,apa arti warna hitam di informasi terdata,"['arti', 'warna', 'hitam', 'informasi', 'terdata']"
Lab Informasi Terdata,Apa arti warna kuning di Informasi Terdata?,Kuning menandakan pasien dirujuk ke Prodia.,Pendaftaran Laboratorium,apa arti warna kuning di informasi terdata,"['arti', 'warna', 'kuning', 'informasi', 'terdata']"
Lab Informasi Terdata,Bagaimana menambahkan pasien baru laboratorium?,"Gunakan tombol ""Tambah"" di menu Informasi Terdata untuk input pasien baru yang belum ada order.",Pendaftaran Laboratorium,bagaimana menambahkan pasien baru laboratorium,"['pasien', 'laboratorium']"
Lab Informasi Terdata,Bagaimana membatalkan pendaftaran pasien laboratorium?,"Pilih pasien di Informasi Terdata, lalu klik tombol ""Batal"".",Pendaftaran Laboratorium,bagaimana membatalkan pendaftaran pasien laboratorium,"['membatalkan', 'pendaftaran', 'pasien', 'laboratorium']"
Lab Informasi Terdata,Bagaimana mengedit data pasien laboratorium?,"Pilih pasien di Informasi Terdata, lalu klik tombol ""Edit"" untuk memperbarui informasi.",Pendaftaran Laboratorium,bagaimana mengedit data pasien laboratorium,"['mengedit', 'data', 'pasien', 'laboratorium']"
Lab Cari Pasien,Bagaimana cara mencari pasien yang baru daftar?,"Gunakan menu ""Cari Pasien"", isi No. RM, nama, alamat, tanggal lahir, atau data wali, lalu klik tombol ""Cari"".",Pendaftaran Laboratorium,bagaimana cara mencari pasien yang baru daftar,"['mencari', 'pasien', 'daftar']"
Lab Cari Pasien,Bagaimana cara membatalkan pencarian pasien?,"Klik tombol ""Batal"" di menu Cari Pasien.",Pendaftaran Laboratorium,bagaimana cara membatalkan pencarian pasien,"['membatalkan', 'pencarian', 'pasien']"
Lab Cari Pasien,Bagaimana mendaftarkan pasien baru yang belum ada di sistem?,"Gunakan fitur ""Pasien Baru"" di menu Cari Pasien.",Pendaftaran Laboratorium,bagaimana mendaftarkan pasien baru yang belum ada di sistem,"['mendaftarkan', 'pasien', 'sistem']"
Lab Error,Apa yang harus dilakukan jika order laboratorium tidak muncul di List Order?,"Klik Refresh, pastikan dokter/unit sudah membuat order, dan cek filter tanggal serta status.",Pendaftaran Laboratorium,apa yang harus dilakukan jika order laboratorium tidak muncul di list order,"['order', 'laboratorium', 'muncul', 'list', 'order']"
Lab Error,Bagaimana jika pasien tidak muncul di Informasi Terdata?,"Pastikan order sudah diverifikasi, atau pasien sudah didaftarkan melalui tombol ""Tambah"".",Pendaftaran Laboratorium,bagaimana jika pasien tidak muncul di informasi terdata,"['pasien', 'muncul', 'informasi', 'terdata']"
Lab Error,Bagaimana jika warna status pasien tidak sesuai?,"Refresh halaman, cek data pendaftaran, pastikan proses pendaftaran/layanan sudah sesuai.",Pendaftaran Laboratorium,bagaimana jika warna status pasien tidak sesuai,"['warna', 'status', 'pasien', 'sesuai']"
Lab Error,Bagaimana cara memperbarui data pasien laboratorium secara real-time?,Gunakan tombol Refresh di menu Informasi Terdata atau List Order.,Pendaftaran Laboratorium,bagaimana cara memperbarui data pasien laboratorium secara real time,"['memperbarui', 'data', 'pasien', 'laboratorium', 'real', 'time']"
Lab Error,Kenapa pasien dirujuk ke Prodia berwarna kuning?,"Warna kuning menunjukkan pasien perlu dirujuk ke laboratorium eksternal, misalnya Prodia.",Pendaftaran Laboratorium,kenapa pasien dirujuk ke prodia berwarna kuning,"['pasien', 'dirujuk', 'prodia', 'berwarna', 'kuning']"
Lab Dokumen,Bagaimana cara mencetak formulir rekam medis pasien laboratorium?,"Di menu Informasi Terdata, pilih pasien, lalu klik tombol Cetak ? Form RM.",Pendaftaran Laboratorium,bagaimana cara mencetak formulir rekam medis pasien laboratorium,"['mencetak', 'formulir', 'rekam', 'medis', 'pasien', 'laboratorium']"
Lab Dokumen,Bagaimana cara mencetak general consent pasien laboratorium?,"Di menu Informasi Terdata, pilih pasien, lalu klik tombol General Consent untuk mencetak persetujuan umum.",Pendaftaran Laboratorium,bagaimana cara mencetak general consent pasien laboratorium,"['mencetak', 'general', 'consent', 'pasien', 'laboratorium']"
Lab Dokumen,Bagaimana mencetak biaya administrasi pasien laboratorium?,"Pilih pasien di Informasi Terdata, klik Biaya Adm., lalu cetak rincian biaya administrasi.",Pendaftaran Laboratorium,bagaimana mencetak biaya administrasi pasien laboratorium,"['mencetak', 'biaya', 'administrasi', 'pasien', 'laboratorium']"
Lab Dokumen,Bagaimana menghubungkan pasien dengan order pemeriksaan dokter?,"Pastikan order sudah diverifikasi di List Order, lalu pasien akan otomatis tampil di Informasi Terdata.",Pendaftaran Laboratorium,bagaimana menghubungkan pasien dengan order pemeriksaan dokter,"['menghubungkan', 'pasien', 'order', 'pemeriksaan', 'dokter']"
Lab Alur,Bagaimana alur umum pendaftaran laboratorium?,Dokter/unit membuat order ? masuk List Order ? diverifikasi petugas ? pasien tampil di Informasi Terdata ? menjalani pemeriksaan sesuai order.,Pendaftaran Laboratorium,bagaimana alur umum pendaftaran laboratorium,"['alur', 'pendaftaran', 'laboratorium']"
Lab Alur,Bagaimana cara menandai pasien sudah dilayani di laboratorium?,Status pasien otomatis berubah menjadi biru muda saat pemeriksaan dilakukan.,Pendaftaran Laboratorium,bagaimana cara menandai pasien sudah dilayani di laboratorium,"['menandai', 'pasien', 'dilayani', 'laboratorium']"
Lab Error,Bagaimana jika pasien sudah dipulangkan tapi status masih hijau?,"Refresh halaman, pastikan data pelayanan sudah dicatat, atau update status secara manual.",Pendaftaran Laboratorium,bagaimana jika pasien sudah dipulangkan tapi status masih hijau,"['pasien', 'dipulangkan', 'status', 'hijau']"
Lab Error,Bagaimana jika general consent tidak muncul saat cetak?,"Pastikan data pasien sudah lengkap dan sudah mendaftar di Informasi Terdata, lalu coba refresh halaman.",Pendaftaran Laboratorium,bagaimana jika general consent tidak muncul saat cetak,"['general', 'consent', 'muncul', 'cetak']"
Lab Error,Bagaimana jika biaya administrasi tidak muncul?,"Pastikan pasien sudah terdaftar dan pilih opsi Biaya Adm. Ya/Tidak sesuai kebutuhan, lalu refresh jika perlu.",Pendaftaran Laboratorium,bagaimana jika biaya administrasi tidak muncul,"['biaya', 'administrasi', 'muncul']"
Lab Error,Bagaimana menangani data pasien ganda di sistem laboratorium?,"Periksa No. RM dan identitas pasien, lalu gunakan tombol Edit untuk menggabungkan data atau hapus duplikat.",Pendaftaran Laboratorium,bagaimana menangani data pasien ganda di sistem laboratorium,"['menangani', 'data', 'pasien', 'ganda', 'sistem', 'laboratorium']"
Lab Import Data,Bagaimana cara mengimpor data pasien dari file eksternal?,"Klik tombol Tempat dan Import Data, pilih file melalui Browse, lalu unggah.",Pendaftaran Laboratorium,bagaimana cara mengimpor data pasien dari file eksternal,"['mengimpor', 'data', 'pasien', 'file', 'eksternal']"
Lab Import Data,"File import data pasien tidak berhasil, bagaimana solusinya?","Pastikan format file sesuai aturan, nama tidak duplikat, lalu refresh halaman dan coba unggah lagi.",Pendaftaran Laboratorium,file import data pasien tidak berhasil  bagaimana solusinya,"['file', 'import', 'data', 'pasien', 'berhasil', 'solusinya']"
Lab Import Data,Apakah data yang sudah ada di sistem akan tertimpa saat import?,"Tidak, data dengan No. RM yang sama tidak akan ditambahkan kembali.",Pendaftaran Laboratorium,apakah data yang sudah ada di sistem akan tertimpa saat import,"['data', 'sistem', 'tertimpa', 'import']"
Lab ICD,Bagaimana mencari kode ICD tertentu?,"Gunakan kotak Cari Nama ICD X di tabel Data ICD, ketik nama penyakit atau kode ICD.",Pendaftaran Laboratorium,bagaimana mencari kode icd tertentu,"['mencari', 'kode', 'icd']"
Lab ICD,"Data ICD tidak muncul setelah pencarian, kenapa?","Refresh halaman, pastikan kolom pencarian benar, atau cek status data aktif (y/n).",Pendaftaran Laboratorium,data icd tidak muncul setelah pencarian  kenapa,"['data', 'icd', 'muncul', 'pencarian']"
Lab ICD,Apa fungsi kolom Alias di Data ICD?,Alias menampilkan nama alternatif penyakit agar lebih mudah dicari.,Pendaftaran Laboratorium,apa fungsi kolom alias di data icd,"['fungsi', 'kolom', 'alias', 'data', 'icd']"
Lab Dokter,Bagaimana menambahkan data dokter ke pasien laboratorium?,"Data dokter dapat diimpor melalui tab Data Dokter, lalu pilih pasien dan hubungkan dokter sesuai order.",Pendaftaran Laboratorium,bagaimana menambahkan data dokter ke pasien laboratorium,"['data', 'dokter', 'pasien', 'laboratorium']"
Lab Dokter,Bagaimana mencari dokter di laboratorium berdasarkan unit?,Gunakan filter unit pengorder di menu List Order atau Informasi Terdata.,Pendaftaran Laboratorium,bagaimana mencari dokter di laboratorium berdasarkan unit,"['mencari', 'dokter', 'laboratorium', 'berdasarkan', 'unit']"
Lab Paket,Bagaimana cara memilih paket pemeriksaan MCU/laboratorium?,"Pilih pasien, lalu di menu paket, pilih paket pemeriksaan sesuai kebutuhan.",Pendaftaran Laboratorium,bagaimana cara memilih paket pemeriksaan mcu laboratorium,"['memilih', 'paket', 'pemeriksaan', 'mcu', 'laboratorium']"
Lab Filter,Bagaimana cara memfilter pasien berdasarkan status?,"Gunakan opsi filter status di Informasi Terdata: Hijau (Daftar), Biru Muda (Diterima), Merah (Dipulangkan), Kuning (Rujukan Prodia), Hitam (Batal).",Pendaftaran Laboratorium,bagaimana cara memfilter pasien berdasarkan status,"['memfilter', 'pasien', 'berdasarkan', 'status']"
Lab Filter,Bagaimana mencari pasien berdasarkan unit pengorder?,Gunakan filter unit pengorder di menu List Order atau Informasi Terdata.,Pendaftaran Laboratorium,bagaimana mencari pasien berdasarkan unit pengorder,"['mencari', 'pasien', 'berdasarkan', 'unit', 'pengorder']"
Lab Refresh,Bagaimana cara memperbarui data pasien terbaru?,Klik tombol Refresh pada List Order atau Informasi Terdata.,Pendaftaran Laboratorium,bagaimana cara memperbarui data pasien terbaru,"['memperbarui', 'data', 'pasien', 'terbaru']"
Lab Refresh,"Data pasien baru tidak muncul setelah pendaftaran, apa yang harus dilakukan?","Refresh halaman, pastikan order sudah diverifikasi, atau cek koneksi sistem.",Pendaftaran Laboratorium,data pasien baru tidak muncul setelah pendaftaran  apa yang harus dilakukan,"['data', 'pasien', 'muncul', 'pendaftaran']"
Lab Error,Apa yang dilakukan jika order pasien tidak muncul di List Order?,"Periksa apakah dokter/unit sudah membuat order, lalu refresh halaman.",Pendaftaran Laboratorium,apa yang dilakukan jika order pasien tidak muncul di list order,"['order', 'pasien', 'muncul', 'list', 'order']"
Lab Error,Bagaimana jika status warna pasien tidak berubah otomatis?,"Pastikan data pasien sudah diverifikasi, jika perlu refresh halaman atau update manual.",Pendaftaran Laboratorium,bagaimana jika status warna pasien tidak berubah otomatis,"['status', 'warna', 'pasien', 'berubah', 'otomatis']"
Lab Navigasi,Bagaimana cara kembali ke menu utama laboratorium?,Gunakan sidebar kiri atau breadcrumb di bagian atas halaman.,Pendaftaran Laboratorium,bagaimana cara kembali ke menu utama laboratorium,"['menu', 'utama', 'laboratorium']"
Lab Navigasi,Bagaimana mencari pasien tertentu di laboratorium?,"Gunakan menu Cari Pasien, masukkan No. RM, nama, alamat, tanggal lahir, atau No. Badge/NIP, lalu klik Cari.",Pendaftaran Laboratorium,bagaimana mencari pasien tertentu di laboratorium,"['mencari', 'pasien', 'laboratorium']"
Lab Dokumen,Bagaimana mencetak nota order laboratorium?,"Pilih pasien/order di Informasi Terdata, lalu klik tombol Cetak atau Form RM.",Pendaftaran Laboratorium,bagaimana mencetak nota order laboratorium,"['mencetak', 'nota', 'order', 'laboratorium']"
Lab Dokumen,Bagaimana mencetak general consent untuk pasien MCU?,"Pilih pasien, klik General Consent, cetak persetujuan sesuai kebutuhan.",Pendaftaran Laboratorium,bagaimana mencetak general consent untuk pasien mcu,"['mencetak', 'general', 'consent', 'pasien', 'mcu']"
Lab Dokumen,Bagaimana mencetak hasil Biaya Adm. pasien laboratorium?,"Pilih pasien, klik Biaya Adm., lalu cetak rincian biaya.",Pendaftaran Laboratorium,bagaimana mencetak hasil biaya adm  pasien laboratorium,"['mencetak', 'hasil', 'biaya', 'adm', 'pasien', 'laboratorium']"
Lab List Order,Bagaimana melihat daftar order laboratorium yang masuk?,"Klik menu List Order di sidebar, semua order dari dokter/unit pengorder akan tampil.",Pendaftaran Laboratorium,bagaimana melihat daftar order laboratorium yang masuk,"['daftar', 'order', 'laboratorium', 'masuk']"
Lab List Order,Bagaimana cara memvalidasi order yang masuk?,"Pilih order di List Order, lalu klik Pilih untuk memproses atau Hapus untuk membatalkan.",Pendaftaran Laboratorium,bagaimana cara memvalidasi order yang masuk,"['memvalidasi', 'order', 'masuk']"
Lab List Order,Bagaimana memfilter order berdasarkan tanggal?,Gunakan filter Tanggal di List Order untuk menampilkan order pada periode tertentu.,Pendaftaran Laboratorium,bagaimana memfilter order berdasarkan tanggal,"['memfilter', 'order', 'berdasarkan', 'tanggal']"
Lab List Order,Bagaimana memfilter order berdasarkan unit pengorder?,Gunakan filter Unit Pengorder di List Order.,Pendaftaran Laboratorium,bagaimana memfilter order berdasarkan unit pengorder,"['memfilter', 'order', 'berdasarkan', 'unit', 'pengorder']"
Lab List Order,Bagaimana mengetahui status cito (urgensi) pasien?,Kolom Status Cito menunjukkan tingkat urgensi order: normal atau cito.,Pendaftaran Laboratorium,bagaimana mengetahui status cito  urgensi  pasien,"['status', 'cito', 'urgensi', 'pasien']"
Lab Informasi Terdata,Bagaimana melihat pasien yang sudah terdaftar di laboratorium?,"Klik menu Lihat Informasi Terdata, semua pasien yang sudah diverifikasi akan tampil.",Pendaftaran Laboratorium,bagaimana melihat pasien yang sudah terdaftar di laboratorium,"['pasien', 'terdaftar', 'laboratorium']"
Lab Informasi Terdata,Bagaimana menambahkan pasien baru yang belum ada order?,"Klik tombol Tambah di Informasi Terdata, lalu isi formulir pasien baru.",Pendaftaran Laboratorium,bagaimana menambahkan pasien baru yang belum ada order,"['pasien', 'order']"
Lab Informasi Terdata,Bagaimana membatalkan pendaftaran pasien laboratorium?,"Pilih pasien, lalu klik tombol Batal untuk membatalkan pendaftaran.",Pendaftaran Laboratorium,bagaimana membatalkan pendaftaran pasien laboratorium,"['membatalkan', 'pendaftaran', 'pasien', 'laboratorium']"
Lab Informasi Terdata,Bagaimana merujuk pasien ke Prodia?,"Pilih pasien di Informasi Terdata, klik tombol Rujuk ke Prodia, isi form rujukan sesuai aturan.",Pendaftaran Laboratorium,bagaimana merujuk pasien ke prodia,"['merujuk', 'pasien', 'prodia']"
Lab Status Warna,Apa arti warna hijau pada daftar pasien?,"Hijau menunjukkan pasien Daftar, siap untuk diproses pemeriksaan.",Pendaftaran Laboratorium,apa arti warna hijau pada daftar pasien,"['arti', 'warna', 'hijau', 'daftar', 'pasien']"
Lab Status Warna,Apa arti warna biru muda pada daftar pasien?,Biru muda menunjukkan pasien sedang Diterima/Dilayani oleh laboratorium.,Pendaftaran Laboratorium,apa arti warna biru muda pada daftar pasien,"['arti', 'warna', 'biru', 'muda', 'daftar', 'pasien']"
Lab Status Warna,Apa arti warna merah pada daftar pasien?,Merah menunjukkan pasien sudah Dipulangkan atau pemeriksaan selesai.,Pendaftaran Laboratorium,apa arti warna merah pada daftar pasien,"['arti', 'warna', 'merah', 'daftar', 'pasien']"
Lab Status Warna,Apa arti warna kuning pada daftar pasien?,Kuning menunjukkan pasien Dirujuk ke Prodia.,Pendaftaran Laboratorium,apa arti warna kuning pada daftar pasien,"['arti', 'warna', 'kuning', 'daftar', 'pasien']"
Lab Status Warna,Apa arti warna hitam pada daftar pasien?,Hitam menunjukkan pasien atau order dibatalkan.,Pendaftaran Laboratorium,apa arti warna hitam pada daftar pasien,"['arti', 'warna', 'hitam', 'daftar', 'pasien']"
Lab Cari Pasien,Bagaimana mencari pasien berdasarkan No. RM?,"Masukkan nomor RM di kolom pencarian Cari Pasien, lalu klik tombol Cari.",Pendaftaran Laboratorium,bagaimana mencari pasien berdasarkan no  rm,"['mencari', 'pasien', 'berdasarkan', 'no', 'rm']"
Lab Cari Pasien,Bagaimana mencari pasien berdasarkan nama atau alamat?,"Masukkan nama/alamat di kolom pencarian Cari Pasien, klik Cari.",Pendaftaran Laboratorium,bagaimana mencari pasien berdasarkan nama atau alamat,"['mencari', 'pasien', 'berdasarkan', 'nama', 'alamat']"
Lab Cari Pasien,Bagaimana membatalkan proses pencarian pasien?,Klik tombol Batal untuk mengosongkan hasil pencarian.,Pendaftaran Laboratorium,bagaimana membatalkan proses pencarian pasien,"['membatalkan', 'proses', 'pencarian', 'pasien']"
Lab Dokumen,Bagaimana mencetak Form RM pasien laboratorium?,"Pilih pasien di Informasi Terdata, klik tombol Form RM untuk cetak.",Pendaftaran Laboratorium,bagaimana mencetak form rm pasien laboratorium,"['mencetak', 'form', 'rm', 'pasien', 'laboratorium']"
Lab Dokumen,Bagaimana mencetak general consent pasien laboratorium?,"Pilih pasien, klik tombol General Consent, cetak sesuai kebutuhan.",Pendaftaran Laboratorium,bagaimana mencetak general consent pasien laboratorium,"['mencetak', 'general', 'consent', 'pasien', 'laboratorium']"
Lab Dokumen,Bagaimana mencetak rincian biaya administrasi pasien?,"Pilih pasien, klik tombol Biaya Adm., lalu cetak.",Pendaftaran Laboratorium,bagaimana mencetak rincian biaya administrasi pasien,"['mencetak', 'rincian', 'biaya', 'administrasi', 'pasien']"
Radiologi Cari Pasien,Bagaimana cara mencari pasien di radiologi?,"Gunakan menu Cari Pasien, masukkan No. RM, nama, atau data lain, lalu klik tombol Cari.",Pendaftaran Radiologi,bagaimana cara mencari pasien di radiologi,"['mencari', 'pasien', 'radiologi']"
Radiologi List Order,Bagaimana melihat daftar order radiologi yang masuk?,"Klik menu Lihat List Order, semua permintaan pemeriksaan dari unit/poli akan tampil.",Pendaftaran Radiologi,bagaimana melihat daftar order radiologi yang masuk,"['daftar', 'order', 'radiologi', 'masuk']"
Radiologi List Order,Bagaimana memvalidasi order radiologi yang masuk?,"Pilih order, klik tombol Pilih untuk memproses atau Hapus untuk membatalkan.",Pendaftaran Radiologi,bagaimana memvalidasi order radiologi yang masuk,"['memvalidasi', 'order', 'radiologi', 'masuk']"
Radiologi List Order,Bagaimana memfilter order berdasarkan tanggal?,Gunakan filter Tanggal Order di List Order untuk menampilkan order pada periode tertentu.,Pendaftaran Radiologi,bagaimana memfilter order berdasarkan tanggal,"['memfilter', 'order', 'berdasarkan', 'tanggal']"
Radiologi List Order,Bagaimana mengetahui status cito pasien radiologi?,Kolom CITO menunjukkan apakah pemeriksaan bersifat segera/darurat.,Pendaftaran Radiologi,bagaimana mengetahui status cito pasien radiologi,"['status', 'cito', 'pasien', 'radiologi']"
Radiologi List Order,Apa arti warna putih di List Order radiologi?,Putih menunjukkan order Belum Diverifikasi.,Pendaftaran Radiologi,apa arti warna putih di list order radiologi,"['arti', 'warna', 'putih', 'list', 'order', 'radiologi']"
Radiologi List Order,Apa arti warna hitam di List Order radiologi?,Hitam menunjukkan order radiologi Dibatalkan.,Pendaftaran Radiologi,apa arti warna hitam di list order radiologi,"['arti', 'warna', 'hitam', 'list', 'order', 'radiologi']"
Radiologi PACS,Bagaimana mengetahui status integrasi dengan PACS?,"Cek kolom Respons, No. Reg PACS, Status PACS di tab Integrasi PACS.",Pendaftaran Radiologi,bagaimana mengetahui status integrasi dengan pacs,"['status', 'integrasi', 'pacs']"
Radiologi PACS,Apa arti warna abu-abu pada status PACS?,Abu-abu menunjukkan pendaftaran ke PACS Tertunda.,Pendaftaran Radiologi,apa arti warna abu abu pada status pacs,"['arti', 'warna', 'abu', 'abu', 'status', 'pacs']"
Radiologi PACS,Apa arti warna biru muda pada status PACS?,Biru muda menunjukkan pasien sedang Antrean di PACS.,Pendaftaran Radiologi,apa arti warna biru muda pada status pacs,"['arti', 'warna', 'biru', 'muda', 'status', 'pacs']"
Radiologi PACS,Apa arti warna hitam pada status PACS?,Hitam menunjukkan pendaftaran ke PACS Gagal.,Pendaftaran Radiologi,apa arti warna hitam pada status pacs,"['arti', 'warna', 'hitam', 'status', 'pacs']"
Radiologi PACS,Apa arti warna hijau pada status PACS?,Hijau menunjukkan data Berhasil terintegrasi ke PACS.,Pendaftaran Radiologi,apa arti warna hijau pada status pacs,"['arti', 'warna', 'hijau', 'status', 'pacs']"
Radiologi RIS,Bagaimana mengetahui status integrasi dengan RIS?,Cek kolom Respons di tab Integrasi RIS.,Pendaftaran Radiologi,bagaimana mengetahui status integrasi dengan ris,"['status', 'integrasi', 'ris']"
Radiologi RIS,Apa arti warna abu-abu pada status RIS?,Abu-abu menunjukkan pendaftaran ke RIS Tertunda.,Pendaftaran Radiologi,apa arti warna abu abu pada status ris,"['arti', 'warna', 'abu', 'abu', 'status', 'ris']"
Radiologi RIS,Apa arti warna hijau pada status RIS?,Hijau menunjukkan data RIS Terkirim.,Pendaftaran Radiologi,apa arti warna hijau pada status ris,"['arti', 'warna', 'hijau', 'status', 'ris']"
Radiologi RIS,Apa arti warna hitam pada status RIS?,Hitam menunjukkan data Gagal Terkirim ke RIS.,Pendaftaran Radiologi,apa arti warna hitam pada status ris,"['arti', 'warna', 'hitam', 'status', 'ris']"
Radiologi Navigasi,Apa menu utama di halaman Pendaftaran Radiologi?,"Menu utama terdiri dari Cari Pasien, Lihat List Order, Lihat Informasi Terdata, Integrasi PACS, Integrasi RIS.",Pendaftaran Radiologi,apa menu utama di halaman pendaftaran radiologi,"['menu', 'utama', 'halaman', 'pendaftaran', 'radiologi']"
Radiologi Fungsi,Apa tujuan halaman Pendaftaran Radiologi?,"Untuk mencatat, memantau, dan mengintegrasikan data pasien radiologi ke PACS dan RIS, serta mempermudah verifikasi dan monitoring status pemeriksaan.",Pendaftaran Radiologi,apa tujuan halaman pendaftaran radiologi,"['tujuan', 'halaman', 'pendaftaran', 'radiologi']"
Radiologi Refresh Data,Bagaimana cara memperbarui data pasien di List Order radiologi?,Klik tombol Refresh untuk memperbarui data terbaru dari sistem.,Pendaftaran Radiologi,bagaimana cara memperbarui data pasien di list order radiologi,"['memperbarui', 'data', 'pasien', 'list', 'order', 'radiologi']"
Radiologi Refresh Data,"Data pasien baru tidak muncul di List Order, apa yang harus dilakukan?","Lakukan Refresh di tab List Order, pastikan order sudah disimpan sebelumnya.",Pendaftaran Radiologi,data pasien baru tidak muncul di list order  apa yang harus dilakukan,"['data', 'pasien', 'muncul', 'list', 'order']"
Radiologi Cari Order,Bagaimana mencari order tertentu di List Order radiologi?,"Gunakan kolom pencarian di List Order, bisa berdasarkan No. RM, Nama, atau No. Order.",Pendaftaran Radiologi,bagaimana mencari order tertentu di list order radiologi,"['mencari', 'order', 'list', 'order', 'radiologi']"
Radiologi Hapus Order,Bagaimana cara membatalkan order radiologi yang salah?,"Pilih order, klik tombol Hapus atau Batalkan.",Pendaftaran Radiologi,bagaimana cara membatalkan order radiologi yang salah,"['membatalkan', 'order', 'radiologi', 'salah']"
Radiologi Integrasi PACS,"Data PACS tidak muncul, apa yang harus dicek?","Pastikan koneksi PACS aktif, lalu klik Refresh di tab Integrasi PACS.",Pendaftaran Radiologi,data pacs tidak muncul  apa yang harus dicek,"['data', 'pacs', 'muncul', 'dicek']"
Radiologi Integrasi RIS,"Status RIS gagal terkirim, apa yang harus dilakukan?","Periksa jaringan/integrasi RIS, lalu klik Refresh atau kirim ulang data.",Pendaftaran Radiologi,status ris gagal terkirim  apa yang harus dilakukan,"['status', 'ris', 'gagal', 'terkirim']"
